,Classifier,Accuracy Train,Accuracy Dev,Accuracy Test,Weighted F1 Train,Weighted F1 Dev,Weighted F1 Test,Macro F1 Train,Macro F1 Dev,Macro F1 Test,Micro F1 Train,Micro F1 Dev,Micro F1 Test,Weighted Recall Train,Weighted Recall Dev,Weighted Recall Test,Macro Recall Train,Macro Recall Dev,Macro Recall Test,Micro Recall Train,Micro Recall Dev,Micro Recall Test
32,Random_Forests,0.996177840260082,0.91206472036581,0.917779339423752,0.996037721830412,0.881664561013637,0.890244400790447,0.853141245725827,0.387878715993152,0.3896544370766778,0.996177840260082,0.91206472036581,0.917779339423752,0.996177840260082,0.91206472036581,0.917779339423752,0.791842766302785,0.3726067402437814,0.3731240519346959,0.996177840260082,0.91206472036581,0.917779339423752
33,Random_Forests,0.997188296283279,0.91593387266971,0.916725228390723,0.997166919462572,0.88752809634726,0.887165613308641,0.951707935726863,0.402611511677958,0.3795305402132019,0.997188296283279,0.91593387266971,0.916725228390723,0.997188296283279,0.91593387266971,0.916725228390723,0.916834123943619,0.381704180309726,0.3667144877233577,0.997188296283279,0.91593387266971,0.916725228390723
34,Random_Forests,0.997100430542131,0.915230390432641,0.917779339423752,0.9970862172253,0.887882253432088,0.889312680565315,0.951552519423291,0.4050358733112228,0.3860185185185185,0.997100430542131,0.915230390432641,0.917779339423752,0.997100430542131,0.915230390432641,0.917779339423752,0.918494411342792,0.383636152008487,0.3707144877233577,0.997100430542131,0.915230390432641,0.917779339423752
35,Random_Forests,0.986908004569018,0.91206472036581,0.915319747013352,0.986126176432533,0.879257101560963,0.88419967736038,0.69444673251273,0.379247374942933,0.3704855058301535,0.986908004569018,0.91206472036581,0.915319747013352,0.986908004569018,0.91206472036581,0.915319747013352,0.649892832070346,0.367128050130133,0.3613811543900244,0.986908004569018,0.91206472036581,0.915319747013352
36,Random_Forests,0.996221773130656,0.916989096025325,0.923049894588896,0.996131264671,0.892791043413588,0.901110344508956,0.894702396642355,0.4198142607828471,0.422650880322504,0.996221773130656,0.916989096025325,0.923049894588896,0.996221773130656,0.916989096025325,0.923049894588896,0.836188262146027,0.394146555079797,0.3955336161460341,0.996221773130656,0.916989096025325,0.923049894588896
37,Random_Forests,0.996485370354098,0.916989096025325,0.923401264933239,0.996443351709336,0.892018076960921,0.90137412659332,0.950132634804854,0.417028352573222,0.4230473014311592,0.996485370354098,0.916989096025325,0.923401264933239,0.996485370354098,0.916989096025325,0.923401264933239,0.911654176400498,0.391955079034338,0.395662167373698,0.996485370354098,0.916989096025325,0.923401264933239
38,Random_Forests,0.98914858096828,0.918396060499472,0.927969079409697,0.988724768450807,0.8964252369056,0.910007909217749,0.821477846071353,0.43059938161045,0.4486357356578602,0.98914858096828,0.918396060499472,0.927969079409697,0.98914858096828,0.918396060499472,0.927969079409697,0.748908739086688,0.402335729932299,0.4154050649183,0.98914858096828,0.918396060499472,0.927969079409697
39,Random_Forests,0.994112995343115,0.914878649314104,0.924455375966268,0.993919437013074,0.888048847333866,0.902827401356834,0.848543514742536,0.40621252474178,0.42684256623256,0.994112995343115,0.914878649314104,0.924455375966268,0.994112995343115,0.914878649314104,0.924455375966268,0.78262690058423,0.384602137857867,0.398457385268029,0.994112995343115,0.914878649314104,0.924455375966268
40,Decision_Trees,0.9131447148756,0.903622933520928,0.911103302881236,0.871942344059552,0.8578741005969,0.868722509421234,0.421777306270407,0.3164572554816457,0.3178280321137464,0.9131447148756,0.903622933520928,0.911103302881236,0.9131447148756,0.903622933520928,0.911103302881236,0.3944490779353164,0.333333333333333,0.333333333333333,0.9131447148756,0.903622933520928,0.911103302881236
41,Decision_Trees,0.913012916263948,0.903271192402391,0.910751932536893,0.871641498471466,0.857698648413137,0.868547172147173,0.398513081871289,0.3163925337275919,0.317763883780801,0.913012916263948,0.903271192402391,0.910751932536893,0.913012916263948,0.903271192402391,0.910751932536893,0.378957773453186,0.3332035811599844,0.333204782105669,0.913012916263948,0.903271192402391,0.910751932536893
42,Decision_Trees,0.9131447148756,0.903622933520928,0.910751932536893,0.872112105634114,0.8578741005969,0.868547172147173,0.415133173209275,0.3164572554816457,0.317763883780801,0.9131447148756,0.903622933520928,0.910751932536893,0.9131447148756,0.903622933520928,0.910751932536893,0.394756782047591,0.333333333333333,0.333204782105669,0.9131447148756,0.903622933520928,0.910751932536893
43,Decision_Trees,0.915033828310341,0.903622933520928,0.906535488404778,0.881863517822659,0.867672892183948,0.86896527204498,0.3561849382060177,0.351444596621665,0.3268082293226033,0.915033828310341,0.903622933520928,0.906535488404778,0.915033828310341,0.903622933520928,0.906535488404778,0.352905414640612,0.350865141697005,0.336481295796374,0.915033828310341,0.903622933520928,0.906535488404778
44,Decision_Trees,0.918021263509357,0.904678156876538,0.91391426563598,0.889088083204369,0.871478917903011,0.881225541513117,0.480827914027428,0.3633729754852361,0.3614060885832084,0.918021263509357,0.904678156876538,0.91391426563598,0.918021263509357,0.904678156876538,0.91391426563598,0.4265386626122796,0.3578288263534296,0.356047821056691,0.918021263509357,0.904678156876538,0.91391426563598
45,Decision_Trees,0.926632106141815,0.91206472036581,0.91391426563598,0.908784386575392,0.889887141027973,0.895387198470056,0.442084966811862,0.4175102376838631,0.416891465616638,0.926632106141815,0.91206472036581,0.91391426563598,0.926632106141815,0.91206472036581,0.91391426563598,0.411296587221899,0.39452150069837,0.3958056305437716,0.926632106141815,0.91206472036581,0.91391426563598
46,Decision_Trees,0.920613302873209,0.907492085824832,0.920590302178496,0.89693809395321,0.881173680709686,0.898059964729724,0.405902930282648,0.393627877072002,0.415167081875348,0.920613302873209,0.907492085824832,0.92059030217849,0.920613302873209,0.907492085824832,0.920590302178496,0.3843285687274698,0.3774943901266228,0.391019411235377,0.920613302873209,0.907492085824832,0.920590302178496
47,Decision_Trees,0.921799490378701,0.909602532536053,0.91988756148981,0.90762592912614,0.892721337308921,0.906336052066473,0.4465654215191743,0.431978884220048,0.4491289198606271,0.921799490378701,0.909602532536053,0.91988756148981,0.921799490378701,0.909602532536053,0.91988756148981,0.419993840030558,0.408953567803143,0.423291425633114,0.921799490378701,0.909602532536053,0.91988756148981
48,Naive_Bayes,0.912134258852473,0.903271192402391,0.9100491918482,0.871082521122444,0.857857187904526,0.868196304070052,0.3874570380924657,0.316451016635859,0.317635516311013,0.912134258852473,0.903271192402391,0.9100491918482,0.912134258852473,0.903271192402391,0.9100491918482,0.4087540142983399,0.3332035811599844,0.3329476796503406,0.912134258852473,0.903271192402391,0.9100491918482
49,Naive_Bayes,0.913056849134522,0.903622933520928,0.911103302881236,0.871766008192413,0.8578741005969,0.868722509421234,0.3747541413502029,0.3164572554816457,0.3178280321137464,0.913056849134522,0.903622933520928,0.911103302881236,0.913056849134522,0.903622933520928,0.911103302881236,0.3641460476322861,0.333333333333333,0.333333333333333,0.913056849134522,0.903622933520928,0.911103302881236
50,Naive_Bayes,0.460855812318776,0.4628913119943721,0.463106113843991,0.562274768638218,0.55875867534776,0.561450389326957,0.277094245259911,0.2816934594824749,0.2830932831538089,0.460855812318776,0.4628913119943721,0.463106113843991,0.460855812318776,0.4628913119943721,0.463106113843991,0.527226029320252,0.565204283348216,0.535826884346745,0.460855812318776,0.4628913119943721,0.463106113843991
51,Naive_Bayes,0.900140585185836,0.890608512135068,0.895291637385804,0.867092404664967,0.856504938453343,0.86492366761425,0.3617468326523846,0.33049076430656,0.3299750776213747,0.900140585185836,0.890608512135068,0.895291637385804,0.900140585185836,0.890608512135068,0.895291637385804,0.619963446935076,0.3362026690785306,0.334777220722457,0.900140585185836,0.890608512135068,0.895291637385804
52,Naive_Bayes,0.83213250153765,0.831516004220893,0.827125790583274,0.861164225844049,0.857070353307705,0.857186796780959,0.545169631464719,0.4512908596627007,0.4857824950965466,0.83213250153765,0.831516004220893,0.827125790583274,0.83213250153765,0.831516004220893,0.827125790583274,0.78840558042316,0.522594528274525,0.641295967776492,0.83213250153765,0.831516004220893,0.827125790583274
53,Naive_Bayes,0.920481504261488,0.909250791417516,0.921644413211524,0.898095042813377,0.885225036092576,0.902128174951121,0.4107649305788159,0.405338997168082,0.42922385855084,0.920481504261488,0.909250791417516,0.92164441321152,0.920481504261488,0.909250791417516,0.921644413211524,0.388126742303398,0.385813317152474,0.4022481038693919,0.920481504261488,0.909250791417516,0.921644413211524
54,Naive_Bayes,0.827124154292241,0.824481181850158,0.829234012649332,0.859742405140967,0.855707263131498,0.860991471091162,0.4867801921079603,0.4596776282115575,0.4572010258524528,0.827124154292241,0.824481181850158,0.829234012649332,0.827124154292241,0.824481181850158,0.829234012649332,0.826694199655279,0.5408185072394,0.543132536315721,0.827124154292241,0.824481181850158,0.829234012649332
55,Naive_Bayes,0.923688603813373,0.911361238128737,0.925158116654954,0.902079369802026,0.88750934834045,0.906833147945327,0.420735674412249,0.4100826516682296,0.4412967141088059,0.923688603813373,0.911361238128737,0.925158116654954,0.923688603813373,0.911361238128737,0.925158116654954,0.394528822681482,0.3887833062380265,0.410762308780048,0.923688603813373,0.911361238128737,0.925158116654954
56,XGBoost,0.915429224145505,0.905029897995075,0.91391426563598,0.878203649350452,0.863208266816693,0.876677406691981,0.442406355235418,0.333221300577756,0.3437304102426328,0.915429224145505,0.905029897995075,0.91391426563598,0.915429224145505,0.905029897995075,0.91391426563598,0.404822121092682,0.341522508185835,0.3464095642113382,0.915429224145505,0.905029897995075,0.91391426563598
57,XGBoost,0.920481504261488,0.90995427365459,0.919184820801124,0.890539883873172,0.87636104921671,0.888239158466389,0.539818863065398,0.372296680362616,0.37933575430273,0.920481504261488,0.90995427365459,0.919184820801124,0.920481504261488,0.90995427365459,0.919184820801124,0.4720742060721449,0.3630623230218517,0.3664095642113382,0.920481504261488,0.90995427365459,0.919184820801124
58,XGBoost,0.923820402425094,0.91171297924727,0.91988756148981,0.897411261443493,0.880483327314729,0.892543304536443,0.561012768880882,0.384213952139323,0.3948554192783632,0.923820402425094,0.91171297924727,0.91988756148981,0.923820402425094,0.91171297924727,0.91988756148981,0.485140052691653,0.370285512024973,0.376304923512019,0.923820402425094,0.91171297924727,0.91988756148981
59,XGBoost,0.928081890870749,0.912416461484347,0.918482080112438,0.906010858570172,0.88545142845906,0.890660704920627,0.507401121630497,0.40091384071359,0.390026512725641,0.928081890870749,0.912416461484347,0.918482080112438,0.928081890870749,0.912416461484347,0.918482080112438,0.442924169730751,0.3815023965989665,0.3733811543900244,0.928081890870749,0.912416461484347,0.918482080112438
60,XGBoost,0.934056761268781,0.916637354906788,0.926212227687983,0.920210735044506,0.898386231774197,0.90893082254732,0.633112249535732,0.4406564176867704,0.4476221804685946,0.934056761268781,0.916637354906788,0.926212227687983,0.934056761268781,0.916637354906788,0.926212227687983,0.541187679715021,0.4126443492928506,0.41596709088571,0.934056761268781,0.916637354906788,0.926212227687983
61,XGBoost,0.932475177928125,0.917340837143862,0.924104005621925,0.916653602667436,0.89665404391235,0.90665421867482,0.564098597728276,0.4331878806459825,0.44253125928685,0.932475177928125,0.917340837143862,0.924104005621925,0.932475177928125,0.917340837143862,0.924104005621925,0.4858187527334764,0.405233687480441,0.412786219308394,0.932475177928125,0.917340837143862,0.924104005621925
62,XGBoost,0.93976803444337,0.92507914175167,0.929725931131412,0.929413880087789,0.912042626393185,0.918274038718544,0.65937351007331,0.476075452089523,0.478075864522163,0.93976803444337,0.92507914175167,0.929725931131412,0.93976803444337,0.92507914175167,0.929725931131412,0.56558176704706,0.4431518520214625,0.4461673736984188,0.93976803444337,0.92507914175167,0.929725931131412
63,XGBoost,0.936165539056321,0.921209989447766,0.931131412508784,0.922336863454097,0.904096410149009,0.916388750044291,0.65435118002179,0.453685710584272,0.4679676878127802,0.936165539056321,0.921209989447766,0.931131412508784,0.936165539056321,0.921209989447766,0.931131412508784,0.558631718058899,0.422001293705493,0.432224193341046,0.936165539056321,0.921209989447766,0.931131412508784
64,MLP,0.921843423249275,0.91171297924727,0.918833450456781,0.899964535197613,0.887763530676388,0.898981487946505,0.533413877444498,0.410416106799568,0.421995284059101,0.921843423249275,0.91171297924727,0.918833450456781,0.921843423249275,0.91171297924727,0.918833450456781,0.46614765057304,0.388913058411375,0.39760534773107,0.921843423249275,0.91171297924727,0.918833450456781
65,MLP,0.937395659432387,0.91593387266971,0.925509486999297,0.927262155484446,0.901333083068259,0.913886206174519,0.637357905210253,0.452605816557794,0.468571234540283,0.937395659432387,0.91593387266971,0.925509486999297,0.937395659432387,0.91593387266971,0.925509486999297,0.549118437441125,0.4255337012189071,0.439805630543771,0.937395659432387,0.91593387266971,0.925509486999297
66,MLP,0.929619541340831,0.918044319380935,0.927617709065354,0.917187980997813,0.90484380166582,0.915832687949033,0.525188044168335,0.461830827480887,0.4723377115034048,0.929619541340831,0.918044319380935,0.927617709065354,0.929619541340831,0.918044319380935,0.927617709065354,0.467890166936706,0.4339823804181072,0.4417817200154261,0.929619541340831,0.918044319380935,0.927617709065354
67,MLP,0.942140409454353,0.920506507210692,0.92832044975404,0.933991046724484,0.90854332030754,0.91870683814117,0.514285915913333,0.4711475659403528,0.482476135857858,0.942140409454353,0.920506507210692,0.92832044975404,0.942140409454353,0.920506507210692,0.92832044975404,0.4781927466016406,0.442560811790656,0.454086643527445,0.942140409454353,0.920506507210692,0.92832044975404
68,MLP,0.944820314559353,0.924375659514597,0.930077301475755,0.937493499171137,0.91376046115163,0.919932461111372,0.523333989095581,0.483603690180195,0.484023850664991,0.944820314559353,0.924375659514597,0.930077301475755,0.944820314559353,0.924375659514597,0.930077301475755,0.4871716526801607,0.45384972790206,0.453524617560097,0.944820314559353,0.924375659514597,0.930077301475755
69,MLP,0.940998154819435,0.922616953921913,0.926212227687983,0.932005052881391,0.91049730789597,0.914451570005218,0.508425240153977,0.474662672751688,0.469493915443482,0.940998154819435,0.922616953921913,0.926212227687983,0.940998154819435,0.922616953921913,0.926212227687983,0.4713138524054445,0.444435062853479,0.4400627329991,0.940998154819435,0.922616953921913,0.926212227687983
70,MLP,0.936956330726649,0.924375659514597,0.933239634574841,0.928379548178816,0.913095888754495,0.924259693474862,0.501524834639027,0.4811574257181658,0.4952921802594361,0.936956330726649,0.924375659514597,0.933239634574841,0.936956330726649,0.924375659514597,0.933239634574841,0.468914820024983,0.450562513833871,0.464319835454428,0.936956330726649,0.924375659514597,0.933239634574841
71,MLP,0.949037870134434,0.925782623988744,0.933942375263527,0.943667912040109,0.917779918195022,0.92621715188508,0.540295348444683,0.4959857372752229,0.50179242764647,0.949037870134434,0.925782623988744,0.933942375263527,0.949037870134434,0.925782623988744,0.933942375263527,0.50794325017767,0.469709068913669,0.4730104126494407,0.949037870134434,0.925782623988744,0.933942375263527
72,AdaBoost,0.865126087338546,0.851916989096025,0.86015460295151,0.863456617590627,0.848936351566532,0.857453674188835,0.585085484741321,0.3724264779887495,0.368581455755118,0.865126087338546,0.851916989096025,0.86015460295151,0.865126087338546,0.851916989096025,0.86015460295151,0.541326595241242,0.371238141032979,0.367703817971461,0.865126087338546,0.851916989096025,0.86015460295151
73,AdaBoost,0.815218346366751,0.803024973619416,0.805692199578355,0.83925363327443,0.824178253556673,0.831715221544706,0.659517681969186,0.3748730986872886,0.381015980091801,0.815218346366751,0.803024973619416,0.805692199578355,0.815218346366751,0.803024973619416,0.805692199578355,0.665455465284324,0.391553419733015,0.4080174829669623,0.815218346366751,0.803024973619416,0.805692199578355
74,AdaBoost,0.824268517704946,0.819556806190643,0.8253689388615,0.847237635218063,0.84022679075209,0.847845611142241,0.645482879695559,0.4051934627965,0.4060060812966,0.824268517704946,0.819556806190643,0.8253689388615,0.824268517704946,0.819556806190643,0.8253689388615,0.62560363494749,0.433811126630488,0.44051677593521,0.824268517704946,0.819556806190643,0.8253689388615
